Prompt,Generated Text,i,MAX_LEN
Indian defense,"Indian defense ministry approves $3.4 billion for 83 Apache attack helicopters
The Indian government has approved a $2.6 billion deal with Boeing for the purchase of 22 Apache AH-64E attack and 61 Chinook CH-47F heavy-lift hel...
India’s Defence Ministry Approves Procurement of Apache and Ch...",10,187
Indian defense,"Indian defense minister Nirmala Sitharaman on Saturday said that the government has taken a decision to ban the import of 101 defense items, which will help the country to save Rs 20,00 crore in the coming years.
“We have taken the decision that we will not import 34 weapons and 67 other items. This will save the exchequer RS 8,466 cr over the next four years,” she said while addressing the media.",11,185
Indian defense,"Indian defense minister Manohar Parrikar on Monday said that the Indian Air Force (IAF) will have a new fighter jet in the next two years.
Parrikars comments came at a time when the IAF is looking to procure 110 multi-role fighters to replace its ageing MiG-21 and MiGP-17 jets. The IAC is currently operating a fleet of 26 Mi-35 helicopters for attack and transport roles. It is also looking at procuring 42 Apache attack helos and 80 Chinook heavy-lift heloes.",12,192
Indian defense,"Indian defense minister Manohar Parrikar has said that he will be visiting the United States to discuss the purchase of the F-18 Super Hornet fighter jets.
Indian defense Minister Manokar parrikkar has confirmed that India is in talks with the US to purchase F/A- 15E Super Eagle jet fighters. The Indian government has also expressed interest in purchasing the Boeing F 35 Joint Strike Fighter. Indian Air Force is also in the process of purchases 500 multi-role combat aircraft.",13,182
Indian defense,"Indian defense minister Manohar Parrikar has said that the country is likely to receive the first Rafale fighter jets in the next two years.
The Rafales will be equipped with an advanced medium-range missile system, as well as an electronic warfare system and a laser designation pod. The Rafal fighters will also be capable of carrying out nuclear strikes.",14,200
Indian defense,"Indian defense minister to visit Russia next month
MOSCOW, May 25 (RIA Novosti) - Indian Defense Minister A.K. Antony will visit Moscow next week to discuss military and technical cooperation with his Russian counterpart, Sergei Ivanov, the Indian Embassy said on Monday.
The visit will take place on June 4-5. Ivanova will also visit India on the same days. During the visit, Antoni and Ivanove will discuss the implementation of the agreements reached during Russian President Vladimir Putin's visit to India in December 1998. They will exchange views on international security issues and the situation in the Middle East.",15,182
Indian defense,"Indian defense minister visits Sri Lanka
Indian Defense Minister Manohar Parrikar is in Sri lanka on a two-day official visit.
During the visit, he will hold discussions with Sri-Lankan President Maithripala Sirisena, Prime Minister Ranil Wickremesinghe and Defence Minister Karu Jayasuriya.",16,183
Indian defense,"Indian defense minister says Pakistan must be held accountable for 26/11 attacks
Indian defense Minister Nirmala Sitharaman on Wednesday said that Pakistan should be made account for the 166 people killed in the Mumbai terror attack in 02008.
Sitharman said, “The world is watching and we are watching. It is not just about the perpetrators. The entire nation is waiting for justice.”
“Pakistan has to be brought to account,” she added. “We have to ensure that we don’t let the world forget about this.”",17,190
Indian defense,"Indian defense minister to visit China
Nepalese Prime Minister to Visit China",18,189
Indian defense,"Indian defense forces are one of the strongest and best trained forces in the world. India is the only country in South Asia with a nuclear weapons capability. The Indian Armed Forces are the military forces of India. It consists of four professional uniformed services: the Indian Army, Indian Navy, and Indian Air Force, as well as several inter-service institutions, schools,and auxiliary forces, under the management of Ministry of Defence (MoD).
The President ofIndia is commander-in-chief of Indian armed forces.
Indian Army is largest among the three branches of armed force of india. Indian army has been the primary military arm of union government.It is a land based service branch of army. Army has 1,231 battalions, with 30 active field and 74 training battalion. Total number of active personnel are 2",19,182
Indian defense,"Indian defense forces are the most powerful in the world. Indian military forces have been successful in winning many wars against neighboring countries. The Indian government has also been able to increase the defense budget for the last few years.
In the next five years, the Indian army is going to be the largest in terms of number. It is also the second largest army in Asia. In the year 2022, India will be able of having the highest number of soldiers in its military. There are many reasons why India is able
to have such a strong military force. These reasons include:
India has a large population. India has more than 1.2 billion people, which is the third largest population in
the world after China and the United States. This large number means that India can produce more soldiers
than any other country. If India were to have a smaller population, it would not be possible for it to
",20,188
Indian defense,"Indian defense minister Rajnath Singh. Singh, who was in the US on a visit, said that the decision to buy the S-400 missile system was taken by the previous government.
The United States has said it is ready to talk to India about its purchase of the Russian S4 missiles. The United Nations has imposed sanctions on Russia over the Ukraine crisis and the United Kingdom has also impressed upon India to cancel the deal. However, India has already signed the contract. India’s defense ministry said the purchase was part of a long-term plan to modernize its air defense system.",21,193
Indian defense,"Indian defense minister Manohar Parrikar is greeted by a Chinese soldier as he arrives at the Chinese border town of Nathu La in Sikkim, India, on May 11, 2015.
(Ashwini Bhatia/AP)
India and China are the world’s two most populous nations, but they are also the two countries with the largest number of poor people. More than 40 percent of Indians and nearly 800 million Chinese live in poverty. But while China has made remarkable progress in reducing poverity, the same cannot be said of India. The Chinese government has lifted 682 million people out of povertiy since 90s, while India has not even managed to lift 303 million. This is a result of the policies of successive Indian governments,",22,182
Indian defense,"Indian defense ministry approves 36 Rafale jets deal
India has approved the purchase of 18 additional Rafales jests from France, a defense official said on Monday.
The deal, worth around $8.7 billion, comes after India’s government inked a $7.87-billion contract for 28 fighter jesets in September 4, 6 years after the first deal was signed. The first of the 5 Rafal jeste was delivered to India in October 8, last year.",23,185
Indian defense,"Indian defense minister says no plan to buy Russian missiles
India's Defense Minister AK Antony said on Wednesday that India has no plans to purchase Russian S-400 Triumf missile systems, according to a statement by the Defence Ministry.
""Indian Defenсe Minister Mr. A.K. Antonyo denied the information in the media that the Indian government has approved the purchase of S 4 0 1 T r i u m f missi les from Russia,"" the statement said.",24,181
Indian defense,"Indian defense minister meets Russian counterpart
The Russian Defense Ministry says Defence Minister Sergei Shoigu has met with his Indian counterparts.
Shoigu and his counter-part AK Antony met in the Russian capital on Friday. The two sides discussed the current situation in Afghanistan and the situation around Iran. They also discussed cooperation between the two countries in space exploration. Antoniy also met Russian President Dmitry Medvedev.",25,196
Indian defense,"Indian defense minister to visit Israel next week
Indian Defense Minister A.K. Antony will visit Jerusalem and Tel Aviv next Wednesday for talks with his Israeli counterpart, Ehud Barak, the Indian Defence Ministry said on Sunday.
The visit will focus on ""strengthening the strategic partnership between India and Israel,"" the ministry said in a statement. The two countries have a long-standing defense relationship, with India among Israel's top arms clients.",26,182
Indian defense,"Indian defense minister Manohar Parrikar on Wednesday said that India will not be a part of any military alliance with the United States or any other country in the Asia Pacific region.
India will neither be part nor a member of the US-led Trans-Pacific Partnership (TPP) or the Regional Comprehensive Economic Partner (RCEP).
The statement came after US Defense Secretary Ashton Carter made a statement on Tuesday that the two countries would cooperate more closely on security and defense in Asia. Carter also said Washington would be happy to have India as a partner in any future military pacts in East Asia, including the proposed TPP.",27,183
Indian defense,"Indian defense minister Rajnath Singh meets with his Chinese counterpart Wei Fenghe in Beijing, China, on March 13, 2023. (Reuters)
China’s defense ministry said on Wednesday that Indian Defense Minister Rajanth Singh and his counterparts from 43 countries had agreed to maintain open and inclusive security dialogue and cooperation.
The meeting was held in New Delhi from March1-2, and was attended by 77 countries, including the United States, Britain, Japan, Australia and France. China was the only major power that was not represented at the meeting.",28,196
Indian defense,"Indian defense minister says India, Russia will sign new nuclear deal
India’s defense ministry said on Thursday that India and Russia would sign a new agreement to cooperate on the development of nuclear power.
Defense Minister Rajnath Singh said that the agreement would be signed in the coming days. The two countries had previously agreed to sign the deal at the BRICS summit in October, but it was not signed. Singh did not elaborate on what the new deal would include. India is currently the world’ s third-largest consumer of electricity and is expected to grow by 5 percent per year. It is also the fourth-biggest producer of coal. In 2017, India signed a nuclear cooperation agreement with Russia, which has since been ratified by the Indian parliament. A joint statement issued after the two leaders met in New Delhi in November said the countries would co-oper",29,190
Indian defense,"Indian defense minister Manohar Parrikar has said that the country’s military is capable of dealing with any situation on the border with Pakistan.
“We are ready for any eventuality. I have full faith in our forces,” he said. “We have the capability to deal with the situation. We are not scared of anyone.”
The defense chief’ comments come a day after the Indian Air Force (IAF) carried out an airstrike on a Jaish-e-Mohammad (JeM) terrorist camp in Balakot, Pakistan, killing a large number of terrorists and destroying their infrastructure. The Indian Army later claimed that it had killed 350 terror camps in Pakistan-occupied Kashmir. Pakistan rejected the claim. Islamabad has warned India of “consequences” of the airdrop. On Wednesday, the Pakistan",30,188
Indian defense,"Indian defense minister Nirmala Sitharaman with Chinese President Xi Jinping and Russian President Vladimir Putin at the BRICS summit in Johannesburg, South Africa, July 26, 1018. (AP/Alexander Joe)
BRICs sumit: China, India and Russia to challenge US
The BRIICS nations are growing in economic and political power
By: Alexandra Ulmer and Praveen Menon
JOHANNESBURG (Reuters) - The BRIIICS group of emerging powers is ready to take on the United States, Russia's Vladimir Poutine said on Wednesday, as the five countries launched a new development bank to counter Western domination of global finance.
Russia, China and India are seeking to reshape the global order, while Brazil and South African are also important players in the group, which has been",31,190
Indian defense,"Indian defense minister says there are no plans to relocate embassy in Israel
The defense ministry of India said on Wednesday that there were no current plans for the relocation of the Indian embassador in Tel Aviv to Jerusalem, which has been a source of contention between India and Israel.
“There is no plan to shift the embossy from Tel-Aviv,” the defense department said in a statement. “There are plans under consideration to upgrade the facility in Jerusalem. The decision to this effect is yet to be taken.”
India and other countries have been under pressure from the Palestinian Authority to move their embattlements from Jerusalem to TelAvive, as a show of support for Palestinians. India, however, has not agreed to the move. It has also expressed its opposition to Israel’s decision in 2017 to recognize Jerusalem as its capital.",32,198
Indian defense,"Indian defense minister Nirmala Sitharaman said that India is “fully prepared” to respond to any military threat from Pakistan.
India’s Defence Minister Niramala Singh said on Friday that the country is fully prepared to deal with any threat to its security. Singh’ s comments came after the Indian Air Force (IAF) shot down a Pakistani fighter jet on Wednesday, which India said had violated its airspace. “We are fully ready to face any challenge to our security,” Singh told a press conference in New Delhi. Pakistan’ Sartaj Aziz said the downed jet was a “violation of international law”.
Singh said India’ ties with China and Russia are “very good”, and that she is ready for talks with Pakistan on the issue of Kashmir. She also said her country would continue to",33,181
Indian defense,"Indian defense minister Rajnath Singh visits Ladakh amid border tensions with China
Indian defense Minister Rajanth Singh, who is on a three-day visit to Ladak, will be visiting the border areas on Tuesday.
Singh arrived in the region on Monday, and will visit the forward areas along the Line of Actual Control (LAC) with the Chinese troops. He will also meet the soldiers posted there and review the security situation. The defense ministry said that Singh would be briefed on the situation by the Army and the Indo-Tibetan Border Police (ITBP).
The minister’s visit comes after China’ last month said it would not hesitate to use force against India if the latter tries to unilaterally change the status quo at the LAC. China and India have been locked in a border standoff since April-May last year when 2",34,190
Indian defense,"Indian defense minister calls for more military ties with Russia
Apr 17, 2012 - 5:41 am.- Indian Defense Minister A.K. Antony called for closer military cooperation with the Russian Federation during a visit to Moscow.
Christian leaders: US must support Middle East peace
Sep 9,22,11 3:52 pm
Mar 7 -1:00 pm.
May 4 -2:25 pm",35,196
Indian defense,"Indian defense minister says Kashmir will be 'integral part of India'
Indian Defense Minister Nirmala Sitharaman speaks to the media in New Delhi, India, Aug. 10, 2019. (AP Photo)
by Daily Sabah Aug 07,
New Delh: India’s defense ministry on Wednesday said that the Kargil region is an integral part and will remain a part ""of India forever.""
The statement came in response to Pakistan's Foreign Minister Shah Mahmood Qureshi' s remarks that Pakistan would not allow India to change the status of Kartarpur and Khalistan.
""Kargill is a small part in India. It will always remain an important part, an essential part. The entire Katchi (Kashmiri) region will continue to be an indivisible, integral and inseparable part forever",36,197
Indian defense,"Indian defense minister Manohar Parrikar has announced that India is planning to buy 200 of the S-40...
S-30VM Air Defense Missile System
The S3-0V missile system is a Russian-made short-range surface-to-air missiles (SAM) system. The SAM system was first...
Saab 9LV Fire Control System (FCS)
90Lv is the fire control system (FSC) of Saab. It is currently used in the Bofors 48-caliber 57mm/70mm gun, 77-...",37,192
Indian defense,"Indian defense minister to visit Sri Lanka
Indian defense Minister Manohar Parrikar will visit Colombo on October 13 to hold talks with his Sri lankan counterpart, the Defense Ministry said in a statement on Monday.
The Indian minister will hold discussions with SriLankans Defence Secretary Gotabaya Rajapaksa on bilateral security cooperation, including the proposed joint naval exercise between the two countries. Parikar is also expected to meet Sri Lanakan President Maithripala Sirisena.",38,182
Indian defense,"Indian defense minister to visit Russia
June 28, 1990|By John Fairhall | John
India's defense chief is scheduled to arrive in Moscow tomorrow for talks with Soviet Defense Minister Dmitry Yazov, a spokesman for the Soviet Foreign Ministry said.
The talkthe first visit to Moscow by an Indian minister of defense since 50 years ago -- will center on ""strengthening military cooperation and improving the military-technical relations between the two countries,"" said the spokesperson, Yuri Shtemenko. The two ministers will also discuss ""the current situation in South Asia,"" he said, apparently a reference to the escalating tension between India and Pakistan over Kashmir.",39,189
Indian defense,"Indian defense minister to visit Bangladesh
Indian defense Minister Manohar Parrikar will pay a three-day visit to Bangaldesh from February 13 to 20.
The visit will include a bilateral meeting with Bangladshh Defence Minister Mahmud Ali, a statement from the Bangldesh ministry of defence said.",40,188
Indian defense,"Indian defense minister Nirmala Sitharaman on Saturday said that India will not hesitate to retaliate if Pakistan violates the ceasefire.
“We have given a very clear message that if they violate the agreement, we will retailiate in a strong manner. If they do not understand, they should understand that we are not going to be a pushover,” Sitaraman said.",41,192
Indian defense,"Indian defense minister Manohar Parrikar on Saturday said that the government is not planning to re-introduce the death penalty in the country.
“The government has no such plans. We are not going to bring back the (death) penalty,” Parikkar told reporters in New Delhi. “The death sentence is a very emotional issue. It has to be very carefully decided. I am not in favour of bringing back death,” he added.",42,197
Indian defense,"Indian defense minister Rajnath Singh on Sunday said that the country has “no plans” to purchase the Russian S-400 missile system, even as the US has threatened to impose sanctions on India if it does so.
“We are not buying S4-0 from Russia,” Singh said, according to a tweet by India’s Defense Ministry. “India has its own air defense requirements.”
The S 4 0 1 is a Russian air and missiles defense system. It is the most advanced long-range anti-aircraft missility system in the world. The US is currently developing its missle defense systems, which it has said will be operational by 2022. India is one of the largest importers of US military equipment.",43,193
Indian defense,"Indian defense ministry denies reports that it has blocked US F-16 deal
India has denied reports in the US media that the country's Ministry of Defense has put a block on the sale of F18 fighter jets to India.
The reports said that India has asked the Pentagon to delay the $10 billion deal. The US had earlier agreed to sell 24 F/A- 1 8E/F Super Hornet fighters to the Indian Navy and 40 to Indian Air Force. However, the deal is yet to be finalized.",44,184
Indian defense,"Indian defense minister Manohar Parrikar on Wednesday said that India’s nuclear deterrence is aimed at Pakistan and not at China, asserting that New Delhi’ s nuclear weapons are “primarily directed” against Islamabad.
“The nuclear doctrine of India is primarily directed against Pakistan. We have not developed any nuclear weapon against China,” Parikar told reporters in New York, where he is attending the UN General Assembly. He said India has developed its nuclear capability to duly respond to threats from Pakistan, which has a nuclear arsenal of 120-130 warheads.",45,192
Indian defense,"Indian defense minister says Pakistan has lost the war on terror
Indian defense Minister Manohar Parrikar said on Wednesday that Pakistan had lost its war against terrorism.
“Pakistan has been declared as a state sponsor of terror. They have lost that war,” Parikkar said at an event in New Delhi. “We are trying to bring peace in the region and we are doing that by taking steps which are in our interest.”
Parrikkar was referring to a decision by the Financial Action Task Force (FATF), a global anti-money laundering and terror financing watchdog, to put Pakistan on its grey list in June. The decision came after the FATC found that Islamabad was not doing enough to combat terrorist finanacing. India had pushed for Pakistan’s inclusion on the greylist.",46,180
Indian defense,"Indian defense minister Rajnath Singh on Tuesday said that the government is working on a plan to bring in a bill in the winter session of Parliament to amend the Armed Forces Special Powers Act (AFSPA).
The AFSP Act, which grants special powers to the armed forces in disturbed areas, has been in force in Jammu and Kashmir since 1990. The law is also in place in parts of Arunachal Pradesh, Manipur, Nagaland and Assam.
""We are working to introduce a law in Parliament in winter to replace the AFPSA with a new law. We will try to remove the provisions that are not liked by the people,"" Singh said. ""The government will bring a separate law for Jamu and kashmr, but it will also apply to other parts where the law",47,180
Indian defense,"Indian defense ministry has ordered six new Boeing C-17 Globemaster III airlifters from Boeings, according to a report by Reuters. The deal is worth $2.1 billion and is expected to be completed by 2021.
The Indian Air Force currently operates 10 C130J Super Hercules, and the new aircraft will replace the older C 37 aircraft. This deal will also boost the Indian economy as it will create 500 jobs in the country.",48,197
Indian defense,"Indian defense forces are not in a position to protect the nation’s interests in the face of growing threats from China and Pakistan, according to a report by the Comptroller and Auditor General of India (CAG).
The report said the armed forces were not adequately prepared to deal with any situation, and the defense budget was not increasing at the same pace as the growing needs of the country.
“The armed force’ s preparedness to meet the challenges of internal and external threat is not satisfactory,” the report read. “The threating situation from across the borders, the increasing number of terrorist incidents, internal security threates and increasing cyber threate are some of these threated.”
India is the world’ second largest arms importer after China, but its defense expenditure is low compared to other countries. The report also said that the Indian military is under-resourced, with",49,191
Indian defense,"Indian defense minister says no talks with Pakistan unless it stops cross-border firing
Indian defense Minister Manohar Parrikar (R) shakes hands with Pakistani Foreign Minister Sartaj Aziz (L) during a meeting in New Delhi on April 10, 2015. (AFP)
AFPTuesday, April,14,21:36
New Delh (IANS) - India on Tuesady said there can be no dialogue with Islamabad unless Pakistan stops firing across the Line of Control (LoC) and in other areas.
Defence Minister Manoj Parikhara said the government will not enter into any dialogues with the Pakistan government unless the firing is stopped. He said Pakistan was violating the 60-year-old ceasefire agreement by firing from its side",50,180
Indian defense,"Indian defense minister A. K. Antony has announced that India has decided to purchase a Russian nuclear-powered submarine for the Indian navy. The sub will be the first nuclear sub purchased by the n...
Russia to sell 500 T-90 tanks to India
India is buying 1,020 Russian T92 tine tans from Russia for its armed forces, reports the Russian daily, Izvestia. According to the newspaper, the deal is worth $1.6 billion and includes the delivery of 464 T...",51,196
Indian defense,"Indian defense minister Rajnath Singh has said that the Indian armed forces are fully prepared to respond to any security challenge.
Speaking at the 55th Convocation of the National Defence Academy in Pune, the defense chief said the armed force is prepared for any eventuality. “The Indian Armed Forces are prepared and ready to give a befitting reply to those who dare to challenge our sovereignty,” Singh said. He said India is a peace-loving nation, but it is not afraid of war. The defense force will not hesitate to take any step to protect the nation.",52,187
Indian defense,"Indian defense minister Rajnath Singh (R) shakes hands with his Pakistani counterpart Khawaja Asif (L) at the inauguration of the Heart of Asia conference in Amritsar, India, December 3, 2016. (Reuters)
India, Pakistan to hold talks to ease tensions
Pakistan and India have agreed to begin talts to defuse tension on the disputed Kashmir border after a deadly attack by Pak-based militants on an Indian army base killed 19 soldiers.
Defense ministers from the two countries met on Monday in India’s northern city of Amristar to discuss the attack on Tuesday, which was claimed by Pakistan-backed militant group Jaish-e-Mohammed. It was the deadliest attack in the region in more than a decade.",53,186
Indian defense,"Indian defense minister Nirmala Sitharaman speaks to the media in New Delhi, India, on Monday, June 25, 1962. (AP Photo/Manish Swarup)
India's defense ministry said the two countries have been in talks for several months about the purchase of the S-400, and that India has signed a contract for the deal.
Russia says India'd $5.4 billion purchase includes four S4 missile systems, along with a training simulator and a set of spare parts for a deployment that would cover India for at least a decade. India says the systems will be delivered by 36 months.",54,194
Indian defense,"Indian defense minister, Army chief discuss Kashmir situation
Indian Defense Minister Rajnath Singh and Army Chief Gen. Bipin Rawat on Friday discussed the situation in Kargil, a town in Indian-administered KASHMIR, after a series of clashes between Indian and Pakistani troops in the disputed region.
Singh and Rawth held a meeting in New Delhi to discuss the latest developments in India's northern border. The meeting comes after Pakistan' s Foreign Minister Shah Mahmood Qureshi said Thursday that the Kartarpur Corridor, which connects the Indian side of the border with the Gurdwara Darbar Sahib, will remain open despite India shutting down the corridors for Pakis
tani pilgrims. ""Pakistan has given a very strong message that it will not take any",55,186
Indian defense,"Indian defense minister Nirmala Sitharaman on Tuesday said that the government is taking steps to enhance the security of the Indian Air Force’s (IAF) aircraft.
Speaking to the media, she said, “We are taking all the necessary steps for the safety and security measures of our aircraft.”
She was responding to a question on the crash of an Indian air force aircraft in Jodhpur in which three personnel were killed. The aircraft crashed in the city’a outskirts on Monday. She said the investigation is underway and the cause of crash is yet to be ascertained. “I am not able to comment on it (crash) as the investigations are on,” she added.",56,187
Indian defense,"Indian defense minister, chief of army staff discuss regional security
Sri Lanka's Defence Ministry says its chief and India' s defense and military chiefs discussed regional and international security issues during a meeting in Colombo.
A statement from the ministry on Tuesday said Defense Secretary Gotabhaya Rajapaksa met Chief of Defenece Staff Gen. N.K. Singh and Chiefs of Army, Navy and Air Force on Monday. They discussed matters of mutual interest, regional peace and security. The statement did not elaborate.",57,192
Indian defense,"Indian defense minister Rajnath Singh on Saturday said that the government is planning to give a boost to the defense sector by increasing the production of the indigenous weapons and equipment.
Speaking at the 11th edition of Aero India 2021, Singh said, “We are planning a big boost for the Indian Defense sector. We want to increase the country’s production capacity of indigeneous equipment and weapons.”
He said the aim is to make India a self-reliant country and also a major exporter of defense equipment in the world. “To achieve this goal, we have to develop the capabilities of our defense industry. This will increase employment opportunities and help in strengthening the economy,” he added.",58,192
Indian defense,"Indian defense minister says Pakistan is trying to sabotage talks
India’s defense chief on Sunday accused Pakistan of trying “to sabo...
Pakistan’ s Foreign Minister Shah Mehmood Qureshi on Saturday said...
Afghanistan's Taliban on Thursday named a new leader, Mullah Mohammad...",59,198
Indian defense,"Indian defense minister: Kashmir attack was ‘pre-planned’
Indian defense Minister Nirmala Sitharaman said the attack on an Indian security convoy in Kulgam was a “preplanted” one.
Sithraman told Aaj Tak TV channel that the militants were well-trained and had planned the ambush. She added that India had evidence that Pakistan was behind the incident. “The attackers were highly trained. They were trained to attack the convoys. The attack in Pulwama was pre-organized and preplanning was done. We have evidence to prove it,” she said.",60,183
Indian defense,"Indian defense minister Nirmala Sitharaman, center, attends a meeting with Indian army personnel in Srinagar, Indian controlled Kashmir, Monday, Aug. 5, 2019. India's government on Monday lifted a six-month-long security clampdown in the Indian portion of KASHMIR that has seen tens of thousands of people held in their homes or detained, and announced it was scrapping a special constitutional status for the disputed region. (AP Photo/Mukhtar Khan)
SRINAGAR, India (KRON) — India’s military has taken control of the streets of Sopore in Kupwara district in Indian-administered Kahsmir, hours after the government lifted restrictions in Jammu and Karnah.
The Indian government announced on Saturday that it had lifted the security lockdown",61,186
Indian defense,"Indian defense minister, army chief visit Siachen
India’s defense ministry said on Saturday that Defense Minister Manohar Parrikar and Chief of Army Staff Gen Dalbir Singh visited the world’…
North Korea fires missile into sea: South Korea
South Korea’S military said that North Korea fired a missiles into the sea off its east coast on Monday, the latest in a series of launches…",62,180
Indian defense,"Indian defense minister visits India’s most important nuclear plant
The Indian Defense Minister Rajnath Singh visited India's nuclear power plant in Tamil Nadu on Saturday. The plant is located in the southern Indian state of Tami...
India’S Defence Minister To Visit Sri Lanka Next Week
Sri Lankan President Gotabaya Rajapaksa and Indian Minister of Defen...",63,196
Indian defense,"Indian defense minister Manohar Parrikar has made an unscheduled visit to the China-Pakistan border to review the security situation along the frontier.
The visit comes after the Indian army reportedly killed three militants in a counter-terror operation in the state of Jammu and Kashmir. It also follows a series of recent cross-border attacks in which Pakistani troops have been accused of shelling Indian positions.",64,188
Indian defense,"Indian defense minister Rajnath Singh meets US counterpart Jim Mattis in Washington
Indian Defence Minister Rajanth Singh met his US Defense Secretary Jim Matthis in the Pentagon on September 6.
Singh is in USA to attend the 16th India-US 2+2 Ministerial Dialogue. He also met US Secretary of State Mike Pompeo. (Photo: Reuters)
Washington: Indian Defenceminister RajanathSinghmet hisUS Defencesecretary JimMatthisin thePentagononSeptember6to discuss bilateral defence cooperation.Singhin thecompany ofhisdelegationmet USSecretaryofState MikePompeoin theWhite House.Duringthe meeting,SinghandPompemadeannouncementofa joint statement, which was later released by the US Department of Defensesaid the two sides reaffir",65,191
