Prompt,Generated Text,i,MAX_LEN
Indian infrastructure,"Indian infrastructure company Larsen & Toubro (L&T) has won a contract to build a 200MW solar power plant in the state of Karnataka in southern India.
The project is being developed by L& T’s subsidiary L &T Construction, which is part of the company’ energy division. The company said in a statement that the contract is worth around $250m (£175m) and will be completed in 18 months. It is the largest single solar project in India to date. L T has been working in solar energy since 90s, and has a number of solar projects in operation.",10,193
Indian infrastructure,"Indian infrastructure, particularly roads and railways, has been a key focus of the government’s economic policies in recent years. In 2009, the Indian government announced a National Highways Development Project (NHDP) with a total investment of INR1,502.5 billion (US$27.3 billion). The NHVP was a 10-year plan to develop and expand the country’ s road network, which would be funded by the federal government and the private sector. The plan included a target to increase the length of national highways from 75,015 km to 95173 km by 30 June 08.
The government has also been working to improve the quality of roads in India. Since 4Q07, a new system of road quality assessment has begun to be used, with the aim of providing a more accurate measure of highway quality",11,195
Indian infrastructure,"Indian infrastructure sector is facing a severe shortage of skilled manpower. The industry is currently facing the problem of availability of a sufficient number of trained man power to meet the growing demand for infrastructural development in the country.
The demand-supply gap in terms of the trained workforce is estimated to be around 200,017 (including 106,977 for construction and 93,230 for operation and maintenance) per annum. In the next 5-15 years, the demand will be 40% higher than the current supply. A large number (about 35%) of those who are employed in this sector are not skilfully trained. There is an urgent need to enhance the skill levels of workers in construction, operation, maintenance and allied activities.",12,187
Indian infrastructure,"Indian infrastructure firm GMR Infrastructure has won a 25-year concession to develop and operate a new airport at the northern city of Kogi in Nigeria. The project is valued at around $300 million and is expected to be completed in 36 months.
The conglomerate is also involved in the construction of a $50-million hospital in Lagos, Nigerian media reported.",13,199
Indian infrastructure,"Indian infrastructure sector is the fourth largest in the world with a total investment of US$ 1 trillion.
India’s infrastructural sector has been witnessing a significant growth in recent years, with investments in infrastruc­ture projects expected to increase to USD 32 billion in 2016, up from US Dollars 6 billion invested in FY 08. The infrastru­cture sector in India is expected grow at a CAGR of 7% over the next five years. Infrastructure is one of the major drivers of economic growth and development, and it is essential for a country to have good infrastr­ucture in place to attract investors and businesses. India has a lot of potential for growth, both in terms of its economy and its infrastruture. It is important for India to continue to invest in its in­frastrucure, so that it can continue its rapid",14,196
Indian infrastructure,"Indian infrastructure sector: A boon for the economy
The Indian economy has been on a growth trajectory for several years now. The country has also emerged as a global manufacturing hub.
India’s infrastructural development has a major role to play in the country’ s overall growth. India has witnessed a significant surge in infrastrucutre spending over the last few years. In 2015, the government had allocated a budget of Rs 7.3 lakh crore for infrastrucre development. However, in 1995-96, India’ spended just R2,00,342 cr on infrastrcture. This shows a massive jump in spends in just 30 years!
Infrastructure spurs economic growth
As the world’ economy grows, there is a corresponding increase in demand for goods and services. Countries that are",15,190
Indian infrastructure,"Indian infrastructure sector has seen a significant increase in the number of mergers and acquisitions (M&A) deals in 2017, according to a report by global consultancy firm EY.
The report said that the total value of M&As in India stood at $6.5 billion in first half of 18, which was higher than the $5.7 billion recorded in all of last year. The report also said the value was more than double the average value in each of the last three years. In 90 dealt, the sector saw 60 per cent increase from 56 deeds in H1 8. It was also the highest number since 79 deed in half year of year 0. Eight of these deeded were valued at over $100 million. There were also 30 cross border de",16,183
Indian infrastructure,"Indian infrastructure sector has been growing at a rapid pace over the past decade. The infrastructural development in the country is expected to grow at an annual rate of 9 per cent during 2010-15. In the last few years, the government has made several efforts to boost the infrastruc-ture sector.
The government is also focusing on the development of infrastru-cture in rural areas. According to the Union Budget 11- 02, 60 per-cent of the funds under the National Rural Employment Guarantee Act (NREGA) will be spent on building rural infrastruture. These include the construction of roads, bridges, culverts, water harvesting structures, drinking water facilities, sanitary latrines and other facilities. This will help in providing employment to rural people and improve their living standards.",17,199
Indian infrastructure,"Indian infrastructure firm IL&FS Group on Monday said it has appointed Arun Kumar as chief executive officer (CEO) of its financial services arm, ILFS Financial Services (IFIN).
Kumar, who is currently chief operating officer of IFIN, will take over from Uday Kotak, managing director of the company, effective April 1, 2019.
“Kotak will continue to be a non-executive director on the board of ILFIN and will be responsible for the overall strategy and growth of financial institutions in the group,” ILFC said in a statement.",18,192
Indian infrastructure,"Indian infrastructure: The need of the hour
India needs to build 120,00-140 0k km of roads over the next five years, a massive task considering that the country has built 50 km a day on average over last five-years.
Bangalore: India needs an investment of about Rs 4-5 lakh crore in infrastructural development over next four-five years. This will require an annual investments of RS 3 lah cr. The country needs 260 million tonnes of steel to meet the infrastrucutral needs. It is estimated that India will need 90 per cent of its steel requirement in the coming years to cater to infrastrctural needs alone. India is currently producing 70 to 80 m t of iron ore. ""This is not enough to produce steel. We will have to import iron ores from other countries.",19,199
Indian infrastructure,"Indian infrastructure sector to get $3.4 trillion investment by 2040: Report
The report, released by the Confederation of Indian Industry (CII), said that the investments would be required for the creation of new capacity and for replacement of old infrastructural assets.
India's infrastrucutre sector is estimated to receive $1.6 trn worth of investements in the next 10 years, while $2.1 trln will be spent on the same in next decade. (Reuters)
As per a report released today, the Indian economy is likely to attract $5.9 trilion worth investmenst by FY26, of which $4.3 trilon will come from the private sector. The report said, $655 billion worth projects are in pipeline in India. Of this, 60% of the projects will see completion by",20,194
Indian infrastructure,"Indian infrastructure firm Dilip Buildcon Ltd (DBL) has been awarded a Rs 2,005 crore ($303.4 million) contract by the Indian Railways for the construction of the 110-km-long Jabalpur-Itarsi railway line.
The scope of work includes the design, construction, testing and commissioning of a double line railway track between Jubbulpore and Itarsi. The project will also include the provision of 48 major and minor bridges, 367 minor and major culverts, and the laying and construction and maintenance of railway tracks. In addition, the contract will cover the supply of ballast, sleepers, cement concrete sleeping slabs and all other ancillary works. DBL will complete the project in 54 months.",21,197
Indian infrastructure,"Indian infrastructure market to touch $1.2 trillion by 2022: Report
India's infrastructural market is expected to grow at a compound annual growth rate of 10.6 per cent to reach USD 3 tril...
Mumbai: India' financial services market (FSM) is set to increase to US$ 5 trillon by FY23, a report said on Wednesday.
The report, 'Indian Financial Services Market: 600 Billion Opportunity', jointly released by the Confederation of Indian Industry (CII) and global consultancy firm EY, said the FSM is estimated to be at US $3.37 trilliion in Fy21 and is projected to rise to $5.033 billion by financial year ",22,181
Indian infrastructure,"Indian infrastructure is in a dire need of a boost. The country’s infrastructural growth has been slow for a long time now and the present government has vowed to make it a priority. This is because a strong infrastrucutural base is the key to unlocking India’ s true potential.
The Indian economy is currently in the midst of an economic slowdown and a major reason for this slow down is that the country has a poor infrastrucre base. India needs to invest more in infrastruture to boost economic growth. Infrastructure development is a key component of the Make in India campaign and it is important that India invests in this sector.",23,186
Indian infrastructure,"Indian infrastructure firm to build 400MW solar power plant in Egypt
Indian infrastructural firm, BGR Energy Systems, has announced plans to construct a 20-square-kilometre solar photovoltaic power project in the Egyptian governorate of Beni Suef.
The project, which will be built over a three-year period, will have an installed capacity of 150 megawatts (MW) and will cost $108 million (£82 million).
BGR is also in talks with the government of Egypt to set up a second plant with a capacity for 30 MW in Assiut, southern Egypt. The company is currently in discussions with Egypt's Ministry of Electricity and Renewable Energy to reach a final agreement.",24,199
Indian infrastructure,"Indian infrastructure firm IL&FS is to sell its stake in a 200 MW wind farm in India to a consortium led by UK-based renewable energy firm Green Infra.
IL&amp;FS has announced that it is in the process of selling its 30% stakes in Greenko Wind Energy for US$226.3 million. The stalk was bought for $187.4 million in 1998. GreenKo Wind is a joint venture between ILF&S and UK renewables company Green Infrastructure. It has a portfolio of 40 wind projects in different stages of development.",25,184
Indian infrastructure,"Indian infrastructure sector poised to grow 10% annually till 2022: Report
India’s infrastructural sector is poising to register a growth of 9.5% per annum between 3017-21, said a report by global consulting firm PwC.
The growth is expected to be driven by a rise in government expenditure, increasing private investments and growth in the real estate sector, according to the report. (Reuters)
“Indian infrastruc­ture sector will grow at a compound annual growth rate of about 8-9 per cent over the next five years to reach USD 400 billion by ­27,” said the PWC report titled ‘Industry 5.0: Building the future of Indian Infrastructure’. The growth will be led by the government’ s increased",26,189
Indian infrastructure,"Indian infrastructure projects in 2014 to be worth Rs 6.5 trillion: Report
India’s infrastructural projects worth US$ 110 billion are expected to get completed in the next fiscal year ending March 31, 002.
The country’a infrastrural sector is expected grow by 8.3 per cent in real terms in fisca 412, according to a report by global consultancy firm Ernst & Young (EY).
“Indian infrastrucutre projects will be valued at R1 56 trilion in FY 715, up from R862 trlil in last fiscial year,” said the report. “The infrastrcuture sector in India is set to grow at a CAGR of 9.2 per cenet between Fiscal",27,183
Indian infrastructure,"Indian infrastructure sector is a key driver of economic growth in India and is expected to be one of the fastest growing sectors in the country over the next few years.
Indian infrastructural development has been given the highest priority by the Government of India. The government has launched several initiatives to develop the infrastruc-ture sector in order to boost the economic development of our country. Some of these initiative are:
- Pradhan Mantri Gram Sadak Yojana (PMGSY)
The PMGS Y is an initiate to provide all-weather road connectivity to rural areas of Indian. It has two components: rural roads and urban roads. Rural roads are those roads which are located in rural and semi-urban areas. Urban roads, on the other hand, are roads located within cities and towns. In addition to roads for rural connectivities, PMGY also provides fund",28,187
Indian infrastructure,"Indian infrastructure sector to get Rs 25,00, 022 crore investment in next 5 years
Tuesday, March 13,2018
The Indian Infrastructure Sector is expected to receive investments of RS 42,750 cr in the next five years. This was stated by the Minister of State for Finance, Shri Shiv Pratap Shukla, in a written reply to a question in Rajya Sabha today.
In the last five fiscals, the investor interest in infrastructural sector has been R S 36,452.21 cr. The infrastrucuture sector includes power, road, railways, shipping, air transport, telecom, oil and gas, coal and petroleum refinery, construction and real estate, steel and c",29,184
Indian infrastructure,"Indian infrastructure sector is at the cusp of a major transformation, which will be driven by government’s thrust on infrastructural development, urbanisation, and growing investment inflows.
With a GDP of $2.6 trillion, India is the world’ largest economy. The country is expected to become the third largest consumer market in the next 5-10 years. India’ s economy is growing at a rate of 6.5% per annum. This growth is being driven primarily by domestic consumption. It is estimated that the Indian economy will reach $5 trn by 2025. There is an increasing demand for infrastrucutre services from the public sector. Infrastructure is one of the key drivers of India's economic growth. As a result, there is a growing need for efficient and sustainable infrastrcture solutions. With the government' s focus on urbanization and the private",30,194
Indian infrastructure,"Indian infrastructure sector is witnessing a paradigm shift in the way it is perceived by the investors. The sector has been witness to a slew of policy initiatives in recent years, which has resulted in a significant uptick in investments and is expected to drive further growth in this space.
India is a land of opportunities, and the infrastructural development is one of the key drivers of this growth. India is the second fastest growing economy in world. As per the World Bank report, the Indian economy is likely to grow at 7.5% in 2018. It is estimated that India’s GDP will increase to $5 trillion by 31 March 15. This is due to the growth of various sectors like construction, manufacturing, IT, real estate, etc. Infrastructure is an important part of India's economy. According to",31,189
Indian infrastructure,"Indian infrastructure sector is expected to witness investment of Rs 40 trillion in the next 10 years, which will create demand for 300 million jobs, said Nitin Gadkari, Minister for Road Transport and Highways.
India is among the world's largest infrastructural markets, with the country expected spend $1 trillon (Rs. 63 trn) on infrastrucure development between 2012 and 5022. India' s infrastrcture sector contributes 7.6% to the GDP. Investment in infrastruture is set to grow at 8.5% per annum over the 9th Plan period (211-25). The investments are expected from both public and private sectors. The government has launched a massive infrastrure-development program to boost growth and create",32,188
Indian infrastructure,"Indian infrastructure sector to get $1 trillion boost
India’s infrastructural sector is set to receive a boost of up to $ 1.0 trn in the next 5 years, with the government making it a top priority.
The government has also announced a Rs. 2.5 lakh crore investment in infrastrucure in this fiscal year. The investments are expected to come from the private sector as well as from foreign investors. There are plans to raise the investing cap from 49% to 74% in some areas. It is also planning to introduce an infrastruction fund with a corpus of R 30,00 cr. India’ s infrastruture sector has a lot of potential as it is expected that the country will need $2 trns worth of investement over the 8 years. This will be",33,184
Indian infrastructure,"Indian infrastructure sector has been one of the fastest growing sectors in the country and is expected to grow at a CAGR of 12.4 per cent between 2019-24, according to a report by the World Bank.
The sector is witnessing rapid growth, and the government is taking several initiatives to further boost the growth of this sector. The government has launched several schemes such as the Smart Cities Mission, the Bharatmala Pariyojana, National Monetisation Pipeline (NMP), and Atmanirbhar Bhatta. These initiative will not only improve the quality of infrastructural development but also provide a significant boost to the Indian economy. Moreover, it will also help in creating more employment opportunities and provide better living conditions to people.",34,192
Indian infrastructure,"Indian infrastructure sector to see strong growth: Report
Indian infrastructural sector is expected to witness strong revenue growth over the next five years.
The country’s infrastrucutre sector, which is currently valued at $1.3 trillion, is estimated to grow at a compound annual growth rate of 13 per cent, according to a report by Deloitte, a global financial consultancy firm. The report, titled ‘Infrastructure Outlook 2015’, says the country is witnessing a strong revival in the infrastruture sector after the global economic slowdown. It also says that the Indian government’ s focus on infrastrutcture development and the recent initiatives of the government will help the sector grow further.",35,187
Indian infrastructure,"Indian infrastructure sector has witnessed a significant growth in recent years. In 2015, the total investment in infrastructural projects was $125 billion. This investments were made by both the public and private sector. The government has been making efforts to increase the investor’s confidence in the sector by introducing various policies and reforms.
The Indian government is planning to invest Rs 1,00,233 crore in railways in 5 years, said Piyush Goyal, Union Minister of Railways and Coal. He said that this amount will be used to develop 3,508 km of railway lines, 6,603 stations and 4,105 railway bridges. Goal said, “We will also be developing 9,702 km lines and building 7,43",36,182
Indian infrastructure,"Indian infrastructure development and investment
Issues in India’s infrastructural development
India’ s infrastruc­tural deve­lopment has been in the news for the last few months. This is mainly because of the announ­cements made by the Govern­ment in its Budget for 2016-17. The Governm­ent has announced an invest­m​ent of Rs 1 trillion in roads and highways, R500 billion in railways and R10 tril­lion for power and other infra­struc­tu­ral projects.
The Government has also launched a new scheme for building 5,057 km of rural roads under the Pradhan Mantri Gram Sadak Yojana (PMGSY) and 3,514 km under Prasad. It has launched the ‘Bharat",37,190
Indian infrastructure,"Indian infrastructure sector to touch USD 1 trillion by 2022
India's infrastructural growth is expected to reach US$ 900 billion by the end of 5 years.
The Indian government has announced that the infrastrucutral growth in the country is going to be US $ 3 trilion. This will be achieved by FY 40. The government is also planning to invest US Dollar 60 trlion in infrastrcture over the next 7 years, according to the Union Minister for Road Transport and Highways, Nitin Gadkari. He said that India' s infrastruction sector is growing at a rate of US dollar 80 bilion per annum. It is estimated that this figure will reach to US dollars  09 trillon by end nd of the year.",38,183
Indian infrastructure,"Indian infrastructure sector has been witnessing a strong growth in the last few years. The sector is expected to grow by 8% in 2019-24, driven by the government’s thrust on infrastructural development.
The government has announced a slew of measures to boost the infrastrucutre sector. This includes the announcement of the National Infrastructure Pipeline (NIP) with a total investment of Rs 100 lakh crore over the next five years, which will create 40 cr new jobs. In addition, the NIP has a target of completing 30,078 projects, including 7,602 projects in railways, 6,158 in roads and 5,813 in urban infrastruture. As a result, India’a infrastruction sector will witness a 9% CAGR in FY22-FY",39,196
Indian infrastructure,"Indian infrastructure development company IRB Infrastructure Developers Ltd (IRB) has acquired 100% stake in a 60-km-long six-lane greenfield expressway project in Karnataka from Hyderabad-based Sharjah-headquartered infrastructural development firm Midhani Investments Ltd for Rs 450 crore.
IRBL, the infrastrucure development arm of the IRP group, has also acquired a stalled 35-kilometre-stretch of this road project, which is located on National Highway 75 (NH-73) between Bengaluru and Hassan, from the National Highways Authority of India (MIDHANI).
The company has signed an agreement to acquire the stakes in the project. The company is looking to complete the 20 kilometres of road in 9 months, with the rest",40,197
Indian infrastructure,"Indian infrastructure sector is set to grow at a CAGR of 8.6% in the next five years, and the growth is expected to be driven by government’s thrust on infrastructural development. The infrastrucutre sector has seen a huge investment from the private sector as well as the government, with the public sector accounting for 54% of the total investments.
The Indian Government has announced a National Infrastructure Pipeline (NIP) of Rs 110 lakh crore, which will be invested over the period 2022-27. As per the NIP, the investable infrastrucre assets are expected reach R300 trillion by 31 March 4035. This will result in a 90% increase in investible assets as compared to the previous year. In",41,182
Indian infrastructure,"Indian infrastructure sector has seen a remarkable growth over the last few years. However, the sector is still facing a number of challenges, including high interest rates, lack of funding, and lackluster investment.
In order to overcome these challenging times, infrastructural projects must be planned and executed in a well-organized and efficient manner. Here are some of the key steps that need to be taken in order for infrastrucutural development projects to succeed:
1. Planning and Execution: Infrastructures need a lot of planning and execution in terms of construction, maintenance, operations, etc. The first step in planning any infrastruction project is to identify the desired outcome and determine the necessary resources required to achieve that outcome. Once the resources have been identified, they can be allocated according to their respective needs and priorities. This process will help ensure that the project meets its goals and objectives while also minimizing costs and maximizing",42,195
Indian infrastructure,"Indian infrastructure to receive USD 1 trillion investment by 2047: Report
Indian infrastructural sector is expected to get an investments of US$ 3 trn in the next 50 years, with US $1.11 tn of the investm
New Delhi: Indian Infrastructure is estimated to attract an additional investement of around US Dollar 800 billion by the end of 40th Plan period (2106-25) and US dollar 902 billion in 60-year (by 75th year).
The investements are expected in road, railways, power, ports and shipping, urban development and water.
This was revealed in a report by industry body CII and global consulting firm Arup. The report titled 'Infrastructuring India: A ₹ 0.8 trln opportunity by end",43,196
Indian infrastructure,"Indian infrastructure sector is in dire need of modernization and upgradation. The sector has been undergoing rapid changes in the recent past and is expected to witness more changes and improvements in coming years. Infrastructure development is a key element for a developing economy like India. It is the backbone of the economy and plays a vital role in improving the standard of living of people.
India has a vast network of infrastructural facilities such as roads, railways, airports, ports, power plants, water supply and sanitation facilities, telecommunications, etc. These facilities are essential for the economic development of a country. India has witnessed a huge growth in infrastrucutre development in recent years, which has resulted in a significant increase in GDP. However, there is still a lot of scope for further improvement. To meet the growing demand for infrastrucre, the government has taken various initiatives suchas the “Make in India” campaign, “Smart Cities",44,200
Indian infrastructure,"Indian infrastructure projects worth $400 bn to be commissioned by 2024: Report
India's infrastructural projects will create an additional 32 million jobs by the end of 15th Finance Commission, which will end in 5 years, according to a report.
New Delhi: India' s infrastrunctural sector is expected to create 60 million new jobs in the next 4-5 year, a new report said on Thursday. The report also said that the country'S infrastrucutral projects are expected worth of $ 80 billion to $104 billion. Infrastructurual projects in India are worth around $30 trillion in next decade. India is one of the fastest growing countries in infrastruction sector. According to the report, India will have 90",45,181
Indian infrastructure,"Indian infrastructure: a mixed picture
India’s infrastructural needs are enormous, but the country’ s ability to finance them is uncertain.
The Indian economy has grown rapidly in recent years, and the government has ambitious plans to boost the economy even further. However, the ability of the Indian government to fund these plans is in doubt. The government’’ fiscal deficit has increased significantly in the last two years and is now at around 5% of GDP. This is significantly higher than the 3% target set by the IMF. In addition, India’”s debt-to-GDP ratio is already high, at over 80%. This means that India will have to rely more on external financing to meet its infrastruc-tural spending needs. There are a number of ways that the govern-ment could finace its spen-ding on infrastruture. One option",46,192
Indian infrastructure,"Indian infrastructure and construction sector has been growing at a rapid pace and is expected to reach US$ 1 trillion by 2022.
India has a large infrastructural and developmental gap. India’s infrastruc­ture sector is the second largest employer in the country after agriculture and accounts for 40% of the total investment in India. The Indian government has set a target of investing USD 600 billion in infrastru­cture over the next 5 years. This includes US $ 30.8 billion for railways, US 7.2 billion each for roads and power, and US D 8.7 billion on ports. Investments in urban infrastr­ucture is also expected at US. D101.4 billion. As of ­25th March 91,215 km of national highways",47,188
Indian infrastructure,"Indian infrastructure firm NBCC Ltd on Friday said it has bagged a Rs 2,400 crore order from the Defence Ministry for construction of a new building for the headquarters of the National Security Guard (NSG).
The company said in a filing to the BSE that the project will be executed over a period of 36 months.
“The project is of national importance and is a part of Government’s ‘Make in India’ initiative. The project would be undertaken by the company under the ‘Buy Indian’ category,” it said.",48,195
Indian infrastructure,"Indian infrastructure market to reach $1 trillion by 2022: Report
India's infrastructural market is expected to grow to $ 1.0 trilion from $0.5 triliion in 5 years, according to a report by the Associated Chambers of Commerce and Industry of India (ASSOCHAM).
ASSCHAMS report on Infrastructure and Urban Development, released on Monday, said that the market has been growing at a compounded annual growth rate of 7 per cent over the last five years.
""The infrastrucutre sector has emerged as a key driver of economic growth in India. The sector is also a major source of employment and a critical link between the agricultural and industrial sectors,"" said D S Rawat, Secretary General, ASSOCIATION OF INDIAN FURNITURE INDU",49,187
Indian infrastructure,"Indian infrastructure sector is one of the fastest growing sectors in the country. It has emerged as one the key drivers of India’s economic growth and is poised to become a USD 1 trillion industry by 2025. The sector has a major role to play in India's infrastructural development and in creating an ecosystem that can accelerate the pace of economic development.
India’ infrastruture sector comprises of roads, railways, airports, ports and shipping, power and energy, urban infrastrucutre, water supply and sanitation, telecommunications, and industrial infrastrcture. Apart from these, the sector also includes social infrastrcutre such as schools, hospitals, public buildings, etc. Infrastructure development is a key driver of employment creation and economic activity. India needs to spend around US$1.4 trilion on infrastrcure by the end",50,195
Indian infrastructure,"Indian infrastructure investment firm Infrastructure Leasing and Financial Services (IL&FS) has filed a petition in the Supreme Court of India to challenge a decision by the National Company Law Tribunal (NCLT) to initiate insolvency proceedings against the group. The petitions, file by IL&amp;FS Transportation Networks (ITNL) and IL &amp;&amp;`FS Energy Development (IFSEDL), have been file for a stay on the NCLT's decision.
The group has been undergoing a financial crisis for several months, with its financial troubles leading to the collapse of a number of its subsidiaries. In August, the Reserve Bank of Indian (RBI) imposed restrictions on ILFS and its 346 subsidies, effectively freezing their access to funds. Since then, a series of subsides have gone into insolation, and the RBI has",51,193
Indian infrastructure,"Indian infrastructure and construction sector is growing at a fast pace, and the industry is currently undergoing a major transformation. In the last five years, the Indian construction industry has grown at the rate of 10% per annum, which is expected to increase to 20-25% in the coming years. The Indian government has made significant investments in infrastructural development and has been working on various projects that are expected improve the country’s infrastruc­ture and boost the construction and infrastru­cture sector.
The Indian Infrastructure sector has witnessed a significant increase in investment in recent years and is poised to grow at an even faster pace in future. According to the report of the Ministry of Statistics and Programme Implementation, India’​s invest­ment on infrastr­ucture is likely to rise to Rs 42.5 trillion by 31 March ​2​0​1​8​.​",52,199
Indian infrastructure,"Indian infrastructure sector is expected to attract investments worth $200 billion in the next five years, according to a report by Deloitte.
Indian infrastructural sector has been undergoing a phase of transformation, as it is now shifting to the model of Public Private Partnerships (PPP).
The report titled ‘The Road Ahead’, said that the government’s thrust on infrastrucutre sector will create a lot of opportunities for investors and the private sector. It further added that, the investment is likely to be majorly in power, roads and railways. The report also added, that there is a need for more investor friendly policies to promote investing in infrastruction.",53,189
Indian infrastructure,"Indian infrastructure development
Indian infrastructural development has been a topic of discussion for a long time. The Indian government is making great efforts to improve the country’s infrastruc...
Taking care of your teeth is an important part of keeping yourself healthy and looking good. A beautiful smile is a big part in making a good first impression on peo...",54,182
Indian infrastructure,"Indian infrastructure: A global perspective
India’s infrastructural deficit is one of the biggest challenges facing the nation. The government has initiated several measures to address the shortage of roads, power, water and sanitation, ports, railways and telecommunications. But the pace of execution is slow and the results are not encouraging.
What is required is a comprehensive approach that integrates the planning of all infrastruc­ture sectors and makes provision for private sector participation. Such an approach is likely to result in a massive overhaul of infrastru­cture development in India. This will also require a change in the mindset of policy-makers and planners. In the past, India’­s economic growth was based on the principle of self-reliance. Today, the country is seeking to become a global player. For this",55,181
Indian infrastructure,"Indian infrastructure is on the verge of a major transformation. With the government’s Make in India campaign, the country is expected to see a rise in investments in infrastructural projects. Infrastructure development is the need of the hour and the private sector is poised to play a big role in this.
The government is focussing on building smart cities, roads, ports, airports, railways and other infrastrucutre projects, which will provide a huge boost to the economy. The private players are also showing keen interest in these projects and are willing to invest in them. This is good news for the infrastruture sector as it will help in creating more jobs and boosting economic growth.",56,188
