Category,Prompt,Generated Text,i,MAX_LEN
Indian infrastructure,Electric vehicles charging in India: Infrastructure planning and policy aspects,"Electric vehicles charging in India: Infrastructure planning and policy aspects (Part III)
This is the third article in a series. Part I and Part II of this series can be read here.
As we discussed in Part III of the series on electric vehicles and charging infrastructure, the current government has taken a number of initiatives, including the Faster Adoption and Manufacturing of electric & hybrid electric Vehicles for Electric Mobility (“FAME-II”) initiative, to facilitate the adoption of e-mobility. However, there remain issues with the existing charging ecosystem. The main issues are the following:
a.) The cost of charging: Currently, EV charging is expensive and is not affordable for the majority of people. Charging an e2W (~3.5kW) takes about 8 hours to charge and costs ₹300 to ₺600 depending on the quality of infrastructure. Similarly, it takes 5 hours for a 10kW charger",10,180
Indian infrastructure,Physical & social infrastructure in India & its relationship with economic development,"Physical & social infrastructure in India & its relationship with economic development
The Indian economy is the 9th largest in the world. The ‘Basket of Goods and Services’ in terms of 1990-91 prices of the economy was valued at $1,000.6 billion in 2013-14 (current prices). As per the Planning Commission, India has a total road network of about 6.9 million km as compared to the total world network which is about half of that figure.
Physical Infrastructure
Indian Economy
India has 4th highest number of highways. It’s the second highest in length of road (~5.5% of world road length) and ~1st in road density. India also has the largest road fleet in Asia – 1.3 crore. As a country, our road capacity needs 15.7 lakh lane kilometres. We need 5 times as many as the current capacity of our roads. But what is most important is that",11,195
Indian infrastructure,"The infrastructure sector in India, 2007","The infrastructure sector in India, 2007–2022, is expected to be USD 1,000 billion by 2020, and $ 2 trillion by FY2030. This is a significant opportunity for investors. It is important to understand that infrastructure is not just about infrastructure. A well-planned infrastructure investment strategy can have positive implications on the economy of the country.
India has seen a huge investment in its infrastructure during the last decade (2009–2019). In 2016, the government announced that it would invest Rs 8.8-9.3 trillion ($1.2-1:
- The Indian economy has witnessed tremendous growth over the past few decades. India’s GDP has grown at a CAGR of around 7%. The current GDP is approximately USD$2.5 trillion..
Source: World Bank
.png)
Figure 6: India's Current",12,180
Indian infrastructure,India Infrastructure Report 2002-Governance Issues for Commercialisation,"India Infrastructure Report 2002-Governance Issues for Commercialisation of Infrastructure
- ID: 1770
The Indian market is poised for massive private sector investments in the coming years. The government has set up a ""National Council on Infrastructure"" which is considering the issues related to privatisation, concession, and the role of the government in infrastructure. In a series of meetings and consultations with the private and public sector, the Council is expected to come up with policy recommendations by the end of 1999.
India's infrastructure sector will undergo a radical change with an influx of private funds in coming months. However, it faces a major hurdle in that it has not yet created a legal framework in which private entities can participate in this market. A key challenge is that the Indian infrastructure industry is not ready for private participation and private investors are not clear in their mind the exact role they would like to play in an infrastructure project. This report looks at the challenges facing the infrastructure market in India in terms of policy, legal and institutional issues that will",13,199
Indian infrastructure,Quality infrastructure of India and its importance for inclusive national growth,"Quality infrastructure of India and its importance for inclusive national growth: A critical review of the role of infrastructure in economic development.
Author(s)Bhattacharya, Debasish Chandra; Kishore, Sanjay Kumar; Kumar, Arvind; Maitra, Soumya; Mukherjee, Arijit;... Show more Show less
MetadataShow full item record
Abstract
The present work examines the importance of quality infrastructures for national and inclusive growth. It is argued that the quality of an infrastructure system can be measured by the degree of efficiency, reliability, and safety with which a system delivers services. The study finds that quality infrastructural services have an important role to play in the development of a country. In this context, the study also explores the various dimensions of infrastructual services, such as connectivity, energy, water, sanitation etc. A large-scale empirical exercise has been undertaken, wherein the data for 150 countries have been collected from the World Economic Forum.",14,193
Indian infrastructure,Infrastructure development and economic growth in India,"Infrastructure development and economic growth in India – The role of the private sector
The infrastructure sector has been an area where the Indian economy has witnessed considerable investments. In the last decade, the infrastructure investments, public and private, have gone up from Rs 2.8 lakh crore to Rs. 9.2 lakh crores. The public infrastructure expenditure has risen from 1% of GDP in 1991-92 to 3% in recent years. This article examines the role played by the public sector as a facilitator and the contribution by private players. It also highlights the need for greater private participation in the sector.
This article is divided into three sections: the first discusses infrastructure development in terms of economic and social objectives and highlights that the development of infrastructure is an economic activity that creates wealth, generates employment and facilitates access to services for the people. While the second section examines various types of investments in infrastructure in both public as well as the corporate sector and shows how",15,189
Indian infrastructure,Managing climate-induced risks on Indian infrastructure assets,"Managing climate-induced risks on Indian infrastructure assets using climate risk insurance
This study assesses the effectiveness of climate change risk management strategies on infrastructure in India, using a risk assessment framework.
The study uses satellite data to assess the vulnerability of 14 Indian cities to climate risks, and assess how climate insurance, climate adaptation plans and climate proofing of infrastructure could be used to manage climate related risks in these cities. The study finds climate resilient infrastructure can increase the resilience of cities against climate impacts. While the use of risk transfer tools can help in managing climate induced risk at a larger scale, adaptation strategies will improve the ability of Indian urban infrastructure to withstand climate hazards at the local level.",16,190
Indian infrastructure,Infrastructure and development in rural India,"Infrastructure and development in rural India: A critical review
By Dr. S.R.S. Nair*
Rural Infrastructure Development
The concept of infrastructure was given a new lease of life in the early 2000, in response to the globalisation and market liberalisation, which is taking place in India and the world in general. Infrastructure is defined in its broadest form as “physical infrastructure” that provides the essential services for people to sustain life, including housing, sanitation, water, transportation, education and health. (World Bank 1998).
In rural areas, infrastructure is a vital component of development as it is an essential prerequisite for development activities. For example roads, power, communication and drinking water facilities are some of the infrastructure which are essential for economic development.
However, these essential infrastructure facilities need to be provided at affordable prices and at a sustainable scale to all. There are three main reasons for the failure of rural infrastructure development",17,189
Indian infrastructure,A thematic analysis of employee competencies in an uncertain business environment: a study on the indian infrastructure sector,"A thematic analysis of employee competencies in an uncertain business environment: a study on the indian infrastructure sector
Abstract
In uncertain situations, organizations often face the difficulty of identifying and developing competencies, which will help the organization to respond to the new situation and adapt to changes. The aim of this study was to identify and analyze the competencies that the employees in the infrastructure industry in India require in order to face uncertainty. This study adopts a qualitative approach. A purposive sample consisting of 15 managers/leaders from 4 different companies in Chennai, Tamil Nadu, India was taken. An in-depth interview was carried out with them. Data collected during interviews were transcribed verbatim and analyzed to find out the themes and competencies which are required to cope with the changing environment. In this research, the following four themes were identified, i.e. ‘Competence’, ’Empathy’,‘Adaptability’, and 'Innovation'. The results showed that to survive in this volatile business world, there was a need for employees to acquire “Competencies”,",18,194
Indian infrastructure,Infrastructure in India: The economics of transition from public to private provision,"Infrastructure in India: The economics of transition from public to private provision (English & Indian version)
This study presents a detailed assessment of the public and private infrastructure markets across India. The study examines the role of state and the private sector in the delivery of key infrastructure services, the nature of infrastructure ownership by public versus private operators and provides detailed insights on the economic, financial and institutional aspects. It also presents recommendations for improving infrastructure performance and investment climate in order to improve the quality of and access to infrastructure.
The study was commissioned by the Department of Economic Affairs, Ministry of Finance, India to understand the current landscape of public-private-partnership ‘PPP’ models in different service areas and to provide a roadmap for a more effective infrastructure investment environment and policy interventions",19,194
Indian infrastructure,Syndication of VCPE investments: Evidence from the Indian infrastructure sector,"Syndication of VCPE investments: Evidence from the Indian infrastructure sector
We analyse syndication transactions in the Infrastructure Debt segment, one of the largest segments of Indian corporate debt market. The Infrastructure debt syndications are typically characterised by a large number of lenders. We show that syndicators are likely to syndicate their loans to a smaller set of banks. This is in part because the larger syndicated loans tend to be allocated to banks based on their relative performance – in terms of profitability and size. In the absence of such performance-based allocation, syndicator banks are more willing to share risk.
The analysis shows that there is a strong relationship between syndicability and the relative size of each bank. Smaller syndicating banks tend not to use the infrastructure syndicates for their larger loans, whereas the syndicing of smaller loans is more widespread. Our analysis also shows a positive link between the size and number (and hence, the number) of participating banks to the risk of synd: 101-",20,189
Indian infrastructure,Infrastructure development in India,"Infrastructure development in India is at a rapid pace and it has been the topmost priority of every state government.
The Union Budget 2019 has focused on the infrastructure development and a number of measures have been taken by the government of India to improve the quality of life of common citizens. Here are the key highlights. Also Read - Budget highlights 2020-21: Govt to spend Rs 2.7 lakh crore to build smart cities, rural roads & railways
Budget highlights: Key takeaways for common people
As per the official statement by government, here are key takeaways from the budget: Also read – Budget Day LIVE | Govt hikes tax exemption limit to Rs. 5 lk to boost savings
- A 7.5 percent tax on services such as hotels, restaurants and bars will be introduced to fund a new “national health protection scheme” (NHPS).
Also Read- 'Budget 21': Govt announces a",21,193
Indian infrastructure,Design of smart roads-a vision on indian smart infrastructure development,"Design of smart roads-a vision on indian smart infrastructure development
Smart Road
In the era of information and technology where the world is getting smarter day by day, it is a great vision to make our transport system smarter and more technologically advanced. This would not only make the journey of the people safe and easier but will also give them access to a wide array of services and facilities. It will provide them with better and faster transportation facilities to reach their desired destination.
A Smart Road is also known as smart highway is an advanced version of traditional roads. These roads use the latest advanced technology for the transportation of vehicles, which are based on the principle of communication, connectivity and control. A smart road is designed to meet the requirements of a large number of cars travelling to various locations at the same time. Some of its features include,
- Communication and connectivity with other devices like smartphones, computers and vehicles. The roads are fitted with sensors that can sense the presence of other vehicles and also provide information in real time about the traffic",22,194
Indian infrastructure,Remedies over the obstacles in implementing automation in Indian infrastructure projects,"Remedies over the obstacles in implementing automation in Indian infrastructure projects.
- 4.6KShares
Automation is the new normal. The concept of automation is not new but its adoption is still in the nascent stage in India. As a part of our focus on the Indian Infrastructure space, we are conducting an independent survey to understand the current situation in automation. In this article, our survey findings with respect to the challenges in implementation of the automated systems in infrastructure development projects in a country like India are discussed. This research paper also contains our findings on how the stakeholders in this ecosystem perceive automation and their suggestions for making the implementation process smoother. A detailed discussion on this topic is as under:
Introduction
The concept and the use of Automation in Infrastructure Development Projects are still evolving. Although the Government has initiated several steps towards implementation, however, there is a long way to go. It’s not only the technology or the process that needs to be automated in",23,184
Indian infrastructure,Infrastructure at crossroads: The challenges of governance,"Infrastructure at crossroads: The challenges of governance and financing
A high-level panel on ‘Infras for Growth and Development’ at the World Economic Forum 2019.
Photo Credit: Shutterstock,
As the global economy is expected to contract for the first time since the 2008 financial crisis, the infrastructure gap in the developing world continues to widen. The global infrastructure deficit stands at $90 trillion by 2030, according to the OECD, of which over 40% is in developing countries. While a large part of the shortfall is accounted for by a lack of funding, poor governance also plays a significant role. At the same time, infrastructure projects are increasingly seen as vehicles for development, and the importance of public-private-partnerships, especially in emerging markets, has grown substantially. In this environment of limited resources and greater expectations of infrastructure development in low-income economies, a new approach to governance is emerging. A number of countries – China, India, South Africa, Turkey among",24,200
Indian infrastructure,Development of rural road infrastructure in India,"Development of rural road infrastructure in India
Development and maintenance of road networks in rural parts of India are important factors for development. The road sector in the country is undergoing a major transformation, including through the National Highways Development Project (NHDP). In addition, many states in different parts are trying to develop rural roads. In the past, the focus has largely been on the construction and expansion of roads in urban parts, while the rural areas have lagged behind in this. However, this has now changed.
Rural roads are an important link between urban areas and the rest of the countryside, but they are not developed as well as the urban roads, and in many parts there is no access to a road at all. As a result, a large proportion of transport is carried out by the informal sector, for example by using bicycles, rickshaws, bullock carts and trucks, which has a great impact on transport costs, safety and pollution.",25,187
Indian infrastructure,A Research Note on the PublicPrivate Partnership of India's Infrastructure Development,"A Research Note on the PublicPrivate Partnership of India's Infrastructure Development Sector
-
This note presents the findings of the first study of PPI in India that is based on in-depth primary data analysis of 20 PPP projects in the infrastructure sector across the country.
The study identifies that P3s are being used to finance projects, which have been deemed unviable for public sector financing. It further finds that the PIIFs in PPPs have a high degree of financial risk-sharing, while the government' role is limited to the project planning stage and the implementation of policy and governance.",26,190
Indian infrastructure,All dressed up and nowhere to go: India Infrastructure Report,"All dressed up and nowhere to go: India Infrastructure Report 2018, launched by the PwC India and Confederation of Indian Industry (CII) on February 1, 2020, revealed that infrastructure investments could increase by $130 billion to 160 billion in 12 months, with a focus on road, rail, airports, ports and power.
“As the country gears up for elections, a large chunk of investment in infrastructure is expected to take place in the next six months,” said Mr Pramod Bhasin, partner, PWC, who was addressing the media. The survey also found that India’s top three cities — Mumbai, Chennai and Delhi – have the maximum number of infrastructure projects in hand, as per the survey. “Infrastructure investment has the highest share in Chennai [25 per cent] and Kolkata [$11 billion] with the largest infrastructure project value being estimated to be 40 to50 billion.",27,188
Indian infrastructure,India's Infrastructure Building In Africa: South-South Cooperation And The Abstraction Of Responsibility,"India's Infrastructure Building In Africa: South-South Cooperation And The Abstraction Of Responsibility
India’s infrastructure investment in Africa has been significant over the past two decades. This paper analyses the nature and extent of India’ s infrastructural development in 16 African countries and highlights the role of south-south cooperation in this process. The paper argues that the Indian government and development agencies have used a combination of financial aid, technical cooperation, and the creation of public-private partnerships to create an infrastructure of development that has facilitated the emergence of an ‘India-Africa’ regional bloc.",28,190
Indian infrastructure,The design of digital financial infrastructure: lessons from India,"The design of digital financial infrastructure: lessons from India
AbstractThis): 2 (2012)
Issue ) () :, pages -
More about: financial inclusion, financial regulation, ICT, information sharing, infrastructure
Related researchKeywords: digital infrastructure; financial sector; ICT; information technology; innovation; policy making:digital infrastructure ICT ICT innovation policy financial financial innovation infrastructure sector digital policy:
Find related papers by JEL classification::",29,197
Indian infrastructure,Material circularity potential for construction materialsThe case of transportation infrastructure in India,"Material circularity potential for construction materialsThe case of transportation infrastructure in India by S.R. Chattopadhyay, M.A.M. A., B.P. SahaPages: 1-12
Material flow analysis of the construction industry in the United Arab Emirates by Amani Al MarzouqiPages 13-20
A review of material flows in infrastructure projects by Muthukumaran RamasamyPages.",30,183
Indian infrastructure,Financial risk assessment and modelling of PPP based Indian highway infrastructure projects,"Financial risk assessment and modelling of PPP based Indian highway infrastructure projects: An integrated model for financial evaluation and analysis
Abstract
Financial health of highway projects is of great importance to both the investors (financial institutions, equity investors, etc) and the public authorities responsible for these projects. The financial health assessment of the projects can be conducted by using a number of methods, some of them are: traditional debt to equity ratio, debt coverage ratio, interest coverage, return on equity, and profitability ratio etc. However, all these methods have their own shortcomings. Therefore, in this paper, a comprehensive model is developed based on the stochastic simulation technique to assess the financial risks of a highway project. An example model of an investment based highway PPP project is used to analyse the effectiveness of this model by simulating the project for a period of fifteen years. Simulation results suggest that the developed model can help to predict and understand the various parameters that affect the overall performance of financial aspects of any highway based",31,185
Indian infrastructure,Infrastructure development and FDI inflow to developing economies: Evidence from India,"Infrastructure development and FDI inflow to developing economies: Evidence from India
Working Paper
The study examines the relationship between Fdi inflows and infrastructure development in developing countries, specifically in India. The study shows that infrastructure and other physical capital have significant influence on FDi inflowing countries as measured by the ratio of FdI inflowed/GNI for the period 1985-2003 in terms of the number and size of projects. It also shows a significant positive correlation between infrastructure investment and the level of foreign investment infl",32,196
Indian infrastructure,Investigating the linkage between infrastructure and regional development in India: era of planning to globalisation,"Investigating the linkage between infrastructure and regional development in India: era of planning to globalisation
This study explores the role of public infrastructure, particularly roads, in regional growth and development of 28 states in the year 2001–02. The study uses the panel regression technique to analyse (a) the association between public investment in roads and the subsequent growth in gross state domestic product – GSDP and ‘real gross value added’ for the period 1980–81 to 1999–00; and, “the association […]",33,186
Indian infrastructure,Using the 'Development PlanTown Planning Scheme'mechanism to appropriate land and build urban infrastructure,"Using the 'Development PlanTown Planning Scheme'mechanism to appropriate land and build urban infrastructure.... The Department of Planning is responsible for preparing the Development Plan Town Planning Schemes.
You must register with us as either a Registered User before you can Download this Book. You'll be greeted by a simple sign-up page.
    Once you have finished the sign.",34,185
Indian infrastructure,Economic growth in India: the role of physical and social infrastructure,"Economic growth in India: the role of physical and social infrastructure
India has made impressive progress over the last two decades, but it continues to lag behind most high-growth emerging economies (e.g., China and Korea) in per capita income. The purpose of this paper is to examine what are the determinants of growth for India and its main regions. We employ an augmented Solow & P. K. Ray, 2001. ""Economic Growth of India,"" Working papers 201, Centre for Development Economics, Delhi School of Economics.
- Khandelwal, Raj Kumar, et al, and S. R. Subramanian, eds., The State of the Economy: Selected Readings from the Reserve Bank of Ind.",35,200
Indian infrastructure,Effect of transportation infrastructure on economic growth in India: The VECM approach,"Effect of transportation infrastructure on economic growth in India: The VECM approach
Abstract
Purpose The study is aimed to investigate the causal relationship among economic activities, transportation and infrastructure and economic productivity in Indian manufacturing sector.
Design/methodology/approach The authors have used the Vector error correction methodology to study the impact of transport infrastructure, on productivity and growth of manufacturing industry in the period from 2001 to 2015. The results are estimated by using data from Central Statistical Organization (CSO) and National Transport Development Policy & Statistics, Ministry of Shipping and Road Transport,Government of India. This study has used data over the time-series period for the purpose of analysis and estimation of co-integration relationship between variables. VAR model was applied to the study. Results of the VICM have revealed that both the variables have a significant and long-lasting impact on each and every other variable in manufacturing activities. Therefore, it can be stated that transportation is a major source of productivity enhancement",36,189
Indian infrastructure,Infrastructure Development in India: Emerging Challenges,"Infrastructure Development in India: Emerging Challenges
This paper provides an overview of the Indian infrastructure sector and its current status of infrastructure development in terms of financing and investments. In addition, the paper also discusses the challenges that face the sector in coming years and some of their likely solutions. It is observed that the government has a clear policy objective for the development of Indian Infrastructure. The government, as part of its policy objectives, is also taking several steps to improve the financing of projects by private and public sectors, and to increase private investment in infrastructure. However, there is a need to take further steps for increasing public spending in the infrastructure area, especially in sectors which face significant financing challenges, such as power, roads, water and sanitation, housing, transport, etc.",37,184
Indian infrastructure,Chinese roads in India: The effect of transport infrastructure on economic development,"Chinese roads in India: The effect of transport infrastructure on economic development
Download full text from publisher
CitationsC.S. ""Sandy"" Sanders & Robert J. Barro, 2003.
-, vol. III, issue C (December).
- repec:feb:journl:v:10:y:2008:i:1-2:p:5-9_2011:s:n.4 is not listed on IDEAS
-.
More about this item
KeywordsTransport infrastructure; Trade liberalization; Economic growth; Chinese regions; India;
JEL classification:
-:jb-econ:b:0_2001_f:2011001..",38,194
Indian infrastructure,Governance in India: Infrastructure,"Governance in India: Infrastructure for a Better Nation
The Government is committed to providing better infrastructure to all the citizens, with the focus on rural India.
Prime Minister Shri Narendra Modi inaugurated the 5th International Conference on Infrastructure Development for Economic Growth 2018 (INFRADEG - 18) through video conferencing at Vigyan Bhawan, New Delhi. Inaugurating the conference, the Prime Minister said that 'Infradeg – 17 was the first conference to be held on the concept of ‘Infrastructure for Sustainable Development’ and the third one on ’Infrastructural Development in South Asia and Indian Ocean Region'. It was held at the time of the global economic slowdown. The second conference in 2009 was on a similar theme. However, INFRADI 19 is a conference on infrastructure in the context of globalisation and global climate change, he said.",39,200
Indian infrastructure,Infrastructure in India: challenges and the way ahead,"Infrastructure in India: challenges and the way ahead
The Infrastructure Conclave, held on 26-26 October 2011 in New Delhi, was organised to deliberate on the challenges that the infrastructure sector faces in meeting the country's infrastructure needs for the next decade and to discuss possible policy interventions that may be adopted to address these challenges. The event, which was chaired by Mr Arun Shourie, former Finance & Corporate Affairs Minister of India, and co-chaired by Shri P. Chidambaram, Honourable Minister for Finance, Government of Republic of Indi",40,200
Indian infrastructure,Infrastructure development in India and China: A comparative analysis,"Infrastructure development in India and China: A comparative analysis
Download full text from publisher
As the access to this document is restricted, you may want to look for a different version below or search for it on the Web.
Other versions of this item:
- Anuja, Nandita & Bhattacharya, Anindya (2006). ""Infrastructural development and productivity growth: evidence from the Indian manufacturing industries,"" Policy Research Working Paper Series 3948, The World Bank.,"" Working Papers 2002_12, Business School - Economics, University of Glasgow. /
CitationsCites are extracted by the CitEc Project, subscribe to its RSS feed for this article.",41,180
Indian infrastructure,Issues in promoting rural infrastructure in India,"Issues in promoting rural infrastructure in India
This paper is about the issues in rural development, particularly in terms of rural connectivity and infrastructure. The author argues that India's rural-urban linkages and access to basic services and facilities have improved over the last decade; however, these links still remain inadequate and need to be strengthened to improve the quality of life of people in the rural areas.",42,187
Indian infrastructure,"Infrastructure, information & communication technology and firms' productive performance of the Indian manufacturing","Infrastructure, information & communication technology and firms' productive performance of the Indian manufacturing sector
Abstract
The purpose of this paper is to examine the effect of information infrastructure on the performance (both output and quality) of 1,400 manufacturing firms in India. The paper finds that the presence of Internet, Intranet, and LAN/WAN at the firm-level is positively related to firms’ productivity. These findings support the argument that firms can improve their performance by making the best use of ICT infrastructure. This finding also has important policy implications for policymakers concerned with improving the use and application of infrastructure and ICT.",43,198
Indian infrastructure,Productivity and technical efficiency in Indian states' manufacturing: the role of infrastructure,"Productivity and technical efficiency in Indian states' manufacturing: the role of infrastructure, size and location
This paper examines the technical, physical and social infrastructure and productivity levels in the manufacturing sector in 28 Indian States in three different industrial classifications: large, medium and small. A non-parametric approach of data envelopment analysis is used to derive the production frontiers and measure the productivity of manufacturing establishments. The data covers the period between 1997-98 and 2001-02. We also use panel regression analysis to examine the effect of these infrastructure indicators and size of the establishment on the level of production. Finally, we estimate the total factor productivity, its components and decompose it into its labour and physical components. Our findings show that there has been a marked improvement and convergence in all the States, as evidenced by the significant improvements in total and labour productivity. Productivity gains were also found to be higher in large and medium sized firms and in those located in urban areas. Infrastructure, in particular, the physical infrastructure is found by our analysis, to have significantly",44,199
Indian infrastructure,Innovating with infrastructure: The automobile industry in India,"Innovating with infrastructure: The automobile industry in India
The automobile sector has witnessed tremendous growth in the last decade due to the government’s focus on infrastructure and the industry’ s efforts to provide affordable solutions to consumers. The industry also benefited from the ‘Make inIndia’ initiative that was launched in 2015. This resulted in a boost to both the domestic and export segments of the Indian automobile market in subsequent years.
This article will examine the key trends in automobile production, sales and exports during 2000–2019 and how the sector is evolving to meet future challenges. It will also discuss key issues for the automobile manufacturers and dealers in terms of their role to promote and drive the economy forward. Finally, the article looks at the future of automobile manufacturing and sales as a result of technological developments.",45,185
Indian infrastructure,Sustainable infrastructure development challenges through PPP procurement process: Indian perspective,"Sustainable infrastructure development challenges through PPP procurement process: Indian perspective
Abstract
India is at the threshold of rapid economic growth and infrastructure plays an important role in this growth. PPP in India is considered to be the most viable mode to meet the infrastructure needs of the country. There are several challenges faced by Indian Government and private investors in implementing PPP projects in the Indian context, such as - lack of awareness about PPP, lack in understanding the financial aspects of infrastructure projects, political interference, etc. The purpose of this paper is to present a comprehensive study of major challenges of PPP process in a PPP project in infrastructure sector in Indian scenario. In addition, the paper also discusses the challenges and opportunities of Public Private Partnerships in Infrastructure Sector, as well as, to analyse various strategies used by Government to overcome challenges.
Keywords
References
Bhatt S., (2008), 'Public private Partnerships: A review of Indian experience in PPP and its impact', Economic Review, 39(4), pp. 49-70",46,195
